hour_of_day,tx_count,avg_gas_gwei,p95_gas_gwei,avg_tx_cost_gwei,total_gas_used,congestion_score
14,558832,3.210518958848437,9.447634681,336797.4137159067,50951921669,99.25208962562337
16,569480,3.05042984088607,7.708128532,301445.1180262856,50732784786,97.00816372653121
15,567377,2.9179082454107546,7.704733753,283292.08432898135,50309638828,94.38381125180013
13,552279,2.4094771412453837,6.610439526,243132.87592715304,50820171169,83.82148606173178
17,556440,2.2211394603241534,5.666725704,214597.61240003238,50388873972,80.59399124423123
