hour_of_day,day_of_week,target_avg_gas_gwei,cell_tx_count,hour_tx_count,hour_p95_gas_gwei,hour_avg_tx_cost_gwei,hour_total_gas_used,day_tx_count,day_avg_tx_cost_gwei,hour_sin,hour_cos,day_1,day_2,day_3,day_4,day_5,day_6,day_7
1,6,1.3424069396995701,82668,481817,2.938983493,132744.70308806928,50815705575.0,2069102,222492.0015634782,0.25881904510252074,0.9659258262890683,0,0,0,0,0,1,0
2,6,1.3908664967123978,82162,483202,2.770655318,124866.9210751538,50553730146.0,2069102,222492.0015634782,0.49999999999999994,0.8660254037844387,0,0,0,0,0,1,0
3,6,1.4137803828849407,78098,474211,3.006172715,129894.96436468957,50511325974.0,2069102,222492.0015634782,0.7071067811865475,0.7071067811865476,0,0,0,0,0,1,0
4,6,1.15100541767383,75316,457672,2.746325303,118115.14950072966,51123444366.0,2069102,222492.0015634782,0.8660254037844386,0.5000000000000001,0,0,0,0,0,1,0
5,6,1.1051920091474614,74108,461609,2.976374754,144345.6777807633,50297783033.0,2069102,222492.0015634782,0.9659258262890683,0.25881904510252074,0,0,0,0,0,1,0
6,6,1.1077029109371839,82207,488948,2.841468245,118527.5376751284,51297981504.0,2069102,222492.0015634782,1.0,6.123233995736766e-17,0,0,0,0,0,1,0
7,6,1.4092203936165304,87201,511464,3.212747564,145744.4957535539,51233059047.0,2069102,222492.0015634782,0.9659258262890683,-0.25881904510252063,0,0,0,0,0,1,0
8,6,1.4989880340664408,90816,530861,3.128127865,133008.6865581635,51265101293.0,2069102,222492.0015634782,0.8660254037844387,-0.49999999999999983,0,0,0,0,0,1,0
9,6,1.3551405962668155,90913,544143,3.204936734,121028.68581937907,50511926677.0,2069102,222492.0015634782,0.7071067811865476,-0.7071067811865475,0,0,0,0,0,1,0
10,6,1.2591273980336624,89775,543923,3.385919202,132920.63995143623,51001745170.0,2069102,222492.0015634782,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,1,0
11,6,1.2825248682388593,91071,538831,3.138485529,124102.53662633151,50741474189.0,2069102,222492.0015634782,0.258819045102521,-0.9659258262890682,0,0,0,0,0,1,0
12,6,1.6831873866066185,89043,544375,4.155753603,192741.2652550277,51208147906.0,2069102,222492.0015634782,1.2246467991473532e-16,-1.0,0,0,0,0,0,1,0
13,6,2.2894186465300224,91094,552279,6.608573155,243132.875927153,50820171169.0,2069102,222492.0015634782,-0.2588190451025208,-0.9659258262890683,0,0,0,0,0,1,0
14,6,5.924600792868909,90235,558832,9.447355187,336797.41371590673,50951921669.0,2069102,222492.0015634782,-0.4999999999999998,-0.8660254037844388,0,0,0,0,0,1,0
15,6,4.529540233571642,92203,567377,7.704733753,283292.0843289813,50309638828.0,2069102,222492.0015634782,-0.7071067811865471,-0.7071067811865479,0,0,0,0,0,1,0
16,6,3.9754058080070704,93061,569480,7.708683906,301445.1180262856,50732784786.0,2069102,222492.0015634782,-0.8660254037844384,-0.5000000000000004,0,0,0,0,0,1,0
17,6,3.3466577307721965,91049,556440,5.667083929,214597.61240003238,50388873972.0,2069102,222492.0015634782,-0.9659258262890683,-0.25881904510252063,0,0,0,0,0,1,0
18,6,2.687094604298345,89027,551048,5.0,210561.236023189,50756939288.0,2069102,222492.0015634782,-1.0,-1.8369701987210297e-16,0,0,0,0,0,1,0
19,6,2.024075824455139,88281,543603,3.952595007,198096.57722458255,51042663179.0,2069102,222492.0015634782,-0.9659258262890684,0.2588190451025203,0,0,0,0,0,1,0
20,6,1.9548429458861396,87038,532396,5.0,196943.1745361734,50698040651.0,2069102,222492.0015634782,-0.8660254037844386,0.5000000000000001,0,0,0,0,0,1,0
21,6,2.246786655902625,85833,519375,4.219433032,182842.23581879432,50523579970.0,2069102,222492.0015634782,-0.7071067811865477,0.7071067811865474,0,0,0,0,0,1,0
22,6,1.8520642465665313,84892,502256,3.254979462,147884.03596702655,50985649917.0,2069102,222492.0015634782,-0.5000000000000004,0.8660254037844384,0,0,0,0,0,1,0
23,6,1.3129570255566165,81178,483295,2.848214627,127258.11776559443,50853783944.0,2069102,222492.0015634782,-0.25881904510252157,0.9659258262890681,0,0,0,0,0,1,0
0,7,1.2142481651099601,78037,484990,3.171828544,161276.97602343073,51152781593.0,1908645,132089.94085578536,0.0,1.0,0,0,0,0,0,0,1
1,7,1.1977310136515462,76819,481817,2.938983493,132744.70308806928,50815705575.0,1908645,132089.94085578536,0.25881904510252074,0.9659258262890683,0,0,0,0,0,0,1
2,7,1.2194152951159731,75975,483202,2.770655318,124866.9210751538,50553730146.0,1908645,132089.94085578536,0.49999999999999994,0.8660254037844387,0,0,0,0,0,0,1
3,7,1.1619813939494013,77275,474211,3.006172715,129894.96436468957,50511325974.0,1908645,132089.94085578536,0.7071067811865475,0.7071067811865476,0,0,0,0,0,0,1
4,7,1.1051422955993642,72567,457672,2.746325303,118115.14950072966,51123444366.0,1908645,132089.94085578536,0.8660254037844386,0.5000000000000001,0,0,0,0,0,0,1
5,7,1.4975412937258454,74859,461609,2.976374754,144345.6777807633,50297783033.0,1908645,132089.94085578536,0.9659258262890683,0.25881904510252074,0,0,0,0,0,0,1
6,7,1.3006540882736488,75297,488948,2.841468245,118527.5376751284,51297981504.0,1908645,132089.94085578536,1.0,6.123233995736766e-17,0,0,0,0,0,0,1
7,7,1.1978438303405996,78080,511464,3.212747564,145744.4957535539,51233059047.0,1908645,132089.94085578536,0.9659258262890683,-0.25881904510252063,0,0,0,0,0,0,1
8,7,1.2435246197081606,81130,530861,3.128127865,133008.6865581635,51265101293.0,1908645,132089.94085578536,0.8660254037844387,-0.49999999999999983,0,0,0,0,0,0,1
9,7,1.2604165842239872,80487,544143,3.204936734,121028.68581937907,50511926677.0,1908645,132089.94085578536,0.7071067811865476,-0.7071067811865475,0,0,0,0,0,0,1
10,7,1.3908233057625146,82872,543923,3.385919202,132920.63995143623,51001745170.0,1908645,132089.94085578536,0.49999999999999994,-0.8660254037844387,0,0,0,0,0,0,1
11,7,1.3719986002828966,82415,538831,3.138485529,124102.53662633151,50741474189.0,1908645,132089.94085578536,0.258819045102521,-0.9659258262890682,0,0,0,0,0,0,1
12,7,1.250163439911695,83969,544375,4.155753603,192741.2652550277,51208147906.0,1908645,132089.94085578536,1.2246467991473532e-16,-1.0,0,0,0,0,0,0,1
13,7,1.3238216404557681,85390,552279,6.608573155,243132.875927153,50820171169.0,1908645,132089.94085578536,-0.2588190451025208,-0.9659258262890683,0,0,0,0,0,0,1
14,7,1.4457352084053372,87256,558832,9.447355187,336797.41371590673,50951921669.0,1908645,132089.94085578536,-0.4999999999999998,-0.8660254037844388,0,0,0,0,0,0,1
15,7,1.4436926247899609,89012,567377,7.704733753,283292.0843289813,50309638828.0,1908645,132089.94085578536,-0.7071067811865471,-0.7071067811865479,0,0,0,0,0,0,1
